knot,april,june,verdict,unknotting_crossings,in_crossing_dataset
13a_3905,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3906,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3907,"[1,1]","[1,1]",u = 1,[12],True
13a_3908,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3909,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_391,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3910,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3911,"[1,1]","[1,1]",u = 1,"[10,12]",True
13a_3912,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3913,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3914,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_3916,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3917,"[1,1]","[1,1]",u = 1,[0],True
13a_3918,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3919,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_392,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3920,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3921,"[1,1]","[1,1]",u = 1,[6],True
13a_3923,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_3925,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3926,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3927,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3928,"[1,1]","[1,1]",u = 1,[3],True
13a_3929,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_393,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_3930,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3931,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3932,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3933,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3934,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3935,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_3936,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3937,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3939,"[1,1]","[1,1]",u = 1,"[1,6]",True
13a_394,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3940,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3942,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3944,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3945,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_3946,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3947,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3948,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_3949,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_395,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3950,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_3952,"[1,1]","[1,1]",u = 1,[10],True
13a_3953,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3955,"[1,1]","[1,1]",u = 1,[5],True
13a_3956,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3957,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3959,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_396,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3969,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_397,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3970,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3972,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3973,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3977,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3978,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_398,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_3983,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3984,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3985,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3986,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3987,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_3988,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_3989,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_399,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_3990,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3991,"[1,1]","[1,1]",u = 1,[0],True
13a_3993,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3994,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3995,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3996,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3997,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3998,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_3999,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4000,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4002,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4004,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4005,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4007,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4008,"[1,1]","[1,1]",u = 1,[1],True
13a_4009,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_401,"[1,3]","[2,3]",u >= 2 (McCoy),[],False
13a_4010,"[1,1]","[1,1]",u = 1,"[2,3]",True
13a_4012,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4014,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4015,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4017,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4018,"[1,1]","[1,1]",u = 1,"[0,7]",True
13a_4019,"[1,1]","[1,1]",u = 1,[4],True
13a_4020,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4021,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4022,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4023,"[1,1]","[1,1]",u = 1,[11],True
13a_4024,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4026,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4027,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4028,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
13a_4029,"[1,2]","[2,2]",u >= 2 (McCoy),[],True
