knot,baseline,paper,september,relation
13a_4385,"[2,3]","[3,3]","[3,3]",equal
13a_4388,"[3,4]","[4,4]","[3,4]",paper_stronger
13a_4390,"[2,3]","[3,3]","[3,3]",equal
13a_4392,"[2,3]","[3,3]","[3,3]",equal
13a_4395,"[3,4]","[4,4]","[3,4]",paper_stronger
13a_4396,"[2,3]","[3,3]","[3,3]",equal
13a_443,"[2,3]","[3,3]","[3,3]",equal
13a_4453,"[3,4]","[4,4]","[3,4]",paper_stronger
13a_4454,"[2,4]","[3,4]","[3,4]",equal
13a_4459,"[3,4]","[4,4]","[3,4]",paper_stronger
13a_4461,"[2,3]","[3,3]","[3,3]",equal
13a_4464,"[3,4]","[4,4]","[3,4]",paper_stronger
13a_4465,"[2,3]","[3,3]","[3,3]",equal
13a_4492,"[3,4]","[4,4]","[3,4]",paper_stronger
13a_4493,"[2,4]","[3,4]","[3,4]",equal
13a_4508,"[2,3]","[3,3]","[3,3]",equal
13a_4510,"[2,3]","[3,3]","[3,3]",equal
13a_4550,"[4,5]","[5,5]","[4,5]",paper_stronger
13a_4551,"[3,4]","[4,4]","[3,4]",paper_stronger
13a_4552,"[3,4]","[4,4]","[3,4]",paper_stronger
13a_4553,"[3,4]","[4,4]","[3,4]",paper_stronger
13a_4554,"[2,4]","[3,4]","[3,4]",equal
13a_4556,"[2,3]","[3,3]","[3,3]",equal
13a_4562,"[4,5]","[5,5]","[4,5]",paper_stronger
13a_4563,"[3,4]","[4,4]","[3,4]",paper_stronger
13a_4564,"[3,4]","[4,4]","[3,4]",paper_stronger
13a_4565,"[2,3]","[3,3]","[3,3]",equal
13a_4567,"[3,4]","[4,4]","[3,4]",paper_stronger
13a_4569,"[3,4]","[4,4]","[3,4]",paper_stronger
13a_4571,"[2,3]","[3,3]","[3,3]",equal
13a_4579,"[2,3]","[3,3]","[3,3]",equal
13a_4580,"[2,3]","[3,3]","[3,3]",equal
13a_4624,"[2,3]","[3,3]","[3,3]",equal
13a_4655,"[2,3]","[3,3]","[3,3]",equal
13a_4740,"[4,5]","[5,5]","[4,5]",paper_stronger
13a_4756,"[2,3]","[3,3]","[3,3]",equal
13a_4757,"[3,5]","[4,5]","[3,5]",paper_stronger
13a_4763,"[4,5]","[5,5]","[4,5]",paper_stronger
13a_4764,"[3,4]","[4,4]","[3,4]",paper_stronger
13a_4768,"[2,3]","[3,3]","[2,3]",paper_stronger
13a_4771,"[3,5]","[4,5]","[3,5]",paper_stronger
13a_4772,"[3,4]","[4,4]","[3,4]",paper_stronger
13a_4773,"[2,4]","[3,4]","[3,4]",equal
13a_4774,"[3,4]","[4,4]","[3,4]",paper_stronger
13a_4780,"[3,5]","[4,5]","[3,5]",paper_stronger
13a_4781,"[2,4]","[3,4]","[3,4]",equal
13a_4788,"[3,4]","[4,4]","[3,4]",paper_stronger
13a_4789,"[3,4]","[4,4]","[3,4]",paper_stronger
13a_4790,"[2,4]","[3,4]","[3,4]",equal
13a_4796,"[2,3]","[3,3]","[3,3]",equal
13a_48,"[2,3]","[3,3]","[3,3]",equal
13a_4800,"[3,4]","[4,4]","[3,4]",paper_stronger
13a_4802,"[3,4]","[4,4]","[3,4]",paper_stronger
13a_4805,"[3,4]","[4,4]","[3,4]",paper_stronger
13a_4810,"[2,3]","[3,3]","[3,3]",equal
13a_4812,"[3,5]","[4,5]","[3,5]",paper_stronger
13a_4813,"[2,4]","[3,4]","[3,4]",equal
13a_4820,"[2,3]","[3,3]","[3,3]",equal
13a_4821,"[3,5]","[4,5]","[3,5]",paper_stronger
13a_4824,"[4,5]","[5,5]","[4,5]",paper_stronger
